URL,Scraped_Time,Condition,Car Make,Model,Trim,Year,Kilometers,Body Type,Number of Seats,Fuel,Transmission,Engine Size (cc),Exterior Color,Interior Color,Regional Specs,Car License,Insurance,Car Customs,Body Condition,Paint,Payment Method,City,Neighborhood,Interior Options,Exterior Options,Technology Options,Price,Description_Score,Battery Capacity,Battery Range
https://jo.opensooq.com/en/search/257524083,2025-02-07 13:04:13,New,BYD,Song Plus,Song Plus,2024,0,SUV,5,Electric,Automatic,,Black,Grey,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash Only,Irbid,Petra Street,"Steering Wheel Controls, Air Condition, Memory Seats, Alarm System, Electric Windows, Center Lock, Heated Seats, AUX / USB Input, Leather Seats, Airbags, Cooled Seats, Electric Seat Control, Heated Steering Wheel","Keyless Entry, Electrically Folding Mirrors, Daytime Running Lights, Electric Mirrors, Rim Wheels, Xenon Lights, Front Sensors, LED Lights, Rear Sensors, Sunroof, Panoramic Roof","Remote Start, Media Screen, Navigation system / maps, Forward Collision Alert, ABS Brakes, Blind Spot Alert, Auto Lock System, Lane Departure Alert, 360° Camera, Tyre Pressure Monitoring, Rear Camera, Android Auto, Diff Lock, Traction Control, Voice Control, Radar, Cruise Control, Bluetooth, Touch Screen, Sport Suspension",28700,,70 - 89 kWh,More than 500 km
https://jo.opensooq.com/en/search/257524075,2025-02-07 13:04:13,New,Volkswagen,ID 4,ID.4 Crozz Pure+,2024,0,SUV,5,Electric,Automatic,,Navy Blue,Grey,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash Only,Irbid,Petra Street,"Electric Seat Control, Steering Wheel Controls, Electric Windows, Center Lock, Air Condition, Alarm System, AUX / USB Input, Airbags","Front Sensors, Rear Sensors, Keyless Entry, Sunroof, Panoramic Roof, Electric Mirrors, Daytime Running Lights, Xenon Lights, Rim Wheels, LED Lights","Apple CarPlay, Touch Screen, Voice Control, Media Screen, Bluetooth, ABS Brakes, Remote Start, Rear Camera, Forward Collision Alert, Traction Control, Lane Departure Alert, Cruise Control, Tyre Pressure Monitoring, Navigation system / maps, Radar, Park assist",27000,,70 - 89 kWh,More than 500 km
https://jo.opensooq.com/en/search/257467665,2025-02-07 13:04:26,Used,Volkswagen,Golf,E-Golf,2016,"80,000 - 89,999",HatchBack,5,Electric,Automatic,,White,Orange,European Specs,Licensed,Compulsory Insurance,With Customs,Poor (severe body damages),Original Paint,Cash Only,Amman,Abu Nsair,"Center Lock, Heated Seats, Leather Seats, AUX / USB Input, Air Condition, Airbags, Electric Seat Control, Steering Wheel Controls, Electric Windows","Keyless Entry, Rim Wheels, Electric Mirrors, LED Lights","Apple CarPlay, Auto Lock System, Android Auto, Rear Camera, Voice Control, Traction Control, Bluetooth, Cruise Control, Remote Start, Navigation system / maps, Tyre Pressure Monitoring, Touch Screen, Media Screen",10000,,More than 100 kWh,100 - 199 km
https://jo.opensooq.com/en/search/257519571,2025-02-07 13:04:27,New,Mercedes Benz,EQS-Class,EQS 450+,2023,0,Sedan,5,Electric,Automatic,,Black,White,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash Only,Amman,Al Rabiah,"AUX / USB Input, Cooled Seats, Leather Seats, Heated Steering Wheel, Airbags, Air Condition, Electric Seat Control, Alarm System, Steering Wheel Controls, Center Lock, Memory Seats, Electric Windows, Heated Seats","Electric Mirrors, Xenon Lights, LED Lights, Electrically Folding Mirrors, Keyless Entry, Rear Sensors, Daytime Running Lights, Panoramic Roof, Front Sensors, Sunroof","Park assist, Voice Control, ABS Brakes, Hud Projector, Touch Screen, Bluetooth, Media Screen, Forward Collision Alert, 360° Camera, Blind Spot Alert, Traction Control, Lane Departure Alert, Android Auto, Tyre Pressure Monitoring, Apple CarPlay, Radar, Diff Lock, Cruise Control",80666,فحص كامل,More than 100 kWh,More than 500 km
https://jo.opensooq.com/en/search/257518843,2025-02-07 13:04:29,Used,Nissan,Leaf,S,2013,"+200,000",HatchBack,5,Electric,Automatic,,Navy Blue,Black,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Partially repainted,Cash Only,Amman,Al Bayader,"AUX / USB Input, Alarm System, Airbags, Steering Wheel Controls, Electric Windows, Center Lock, Heated Seats, Heated Steering Wheel, Air Condition","Keyless Entry, Electric Mirrors","Media Screen, ABS Brakes, Rear Camera, Traction Control",4400,3,Less than 50 kWh,Less than 100 km
https://jo.opensooq.com/en/search/257518415,2025-02-07 13:04:32,Used,Tesla,Model 3,Standard Plus,2023,"40,000 - 49,999",Sedan,5,Electric,Automatic,,Navy Blue,Black,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash Only,Amman,Tla' Ali,"AUX / USB Input, Airbags, Electric Seat Control, Steering Wheel Controls, Memory Seats, Electric Windows","Rim Wheels, Front Sensors, Rear Sensors, Keyless Entry, Daytime Running Lights, Spare Tyre","Hud Projector, Remote Start, Apple CarPlay, Android Auto, Bluetooth, Voice Control",21800,فحص كامل,50 - 69 kWh,400 - 499 km
https://jo.opensooq.com/en/search/257515477,2025-02-07 13:04:55,New,BYD,Song Plus,Song Plus,2024,0,SUV,5,Electric,Automatic,,Black,Black,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash or Installments,Zarqa,Al mantika Al Hurra,"Steering Wheel Controls, Heated Steering Wheel, Electric Windows, Alarm System, Center Lock, Heated Seats, Leather Seats, AUX / USB Input, Cooled Seats, Airbags, Sport Seats, Electric Seat Control, Air Condition","Electrically Folding Mirrors, Electric Mirrors, Daytime Running Lights, LED Lights, Rim Wheels, Back Hook, Front Sensors, Rear Sensors, Keyless Entry, Panoramic Roof","Remote Start, ABS Brakes, Forward Collision Alert, 360° Camera, Blind Spot Alert, Rear Camera, Lane Departure Alert, Traction Control, Apple CarPlay, Tyre Pressure Monitoring, Cruise Control, Android Auto, Radar, Park assist, Voice Control, Touch Screen, Bluetooth, Media Screen",28500,,70 - 89 kWh,More than 500 km
https://jo.opensooq.com/en/search/257514375,2025-02-07 13:05:01,Used,Kia,Niro,EX,2022,"180,000 - 189,999",SUV,5,Electric,Automatic,,White,Black,Korean Specs,Not Licensed,Not Insured,Without Customs,Excellent with no defects,Original Paint,Cash or Installments,Zarqa,Al mantika Al Hurra,"AUX / USB Input, Sport Seats, Airbags, Cooled Seats, Electric Seat Control, Electric rear seat, Steering Wheel Controls, Heated Steering Wheel, Electric Windows, Air Condition, Center Lock, Alarm System, Heated Seats, Leather Seats","Rear Sensors, Keyless Entry, Electrically Folding Mirrors, Electric Mirrors, Xenon Lights, LED Lights, Daytime Running Lights, Sports Package, Rim Wheels","Android Auto, Tyre Pressure Monitoring, Rear Camera, Voice Control, Diff Lock, Traction Control, Hud Projector, Radar, Cruise Control, Bluetooth, Touch Screen, Park assist, Remote Start, Media Screen, Sport Suspension, Forward Collision Alert, ABS Brakes, Navigation system / maps, Blind Spot Alert, Auto Lock System, Apple CarPlay, Lane Departure Alert, 360° Camera",18500,فحص كامل,50 - 69 kWh,More than 500 km
https://jo.opensooq.com/en/search/257499623,2025-02-07 13:05:09,Used,Tesla,Model 3,Standard Plus,2021,"20,000 - 29,999",Sedan,5,Electric,Automatic,,Navy Blue,White,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash Only,Amman,Al Muqabalain,"AUX / USB Input, Leather Seats, Airbags, Sport Seats, Electric Seat Control, Electric rear seat, Steering Wheel Controls, Heated Steering Wheel, Memory Seats, Air Condition, Electric Windows, Alarm System, Center Lock, Heated Seats","Front Sensors, Back Hook, Rear Sensors, Keyless Entry, Panoramic Roof, Electrically Folding Mirrors, Electric Mirrors, Daytime Running Lights, Xenon Lights, Rim Wheels, LED Lights","Lane Departure Alert, Traction Control, Apple CarPlay, Tyre Pressure Monitoring, Cruise Control, Android Auto, Radar, Park assist, Voice Control, Touch Screen, Navigation system / maps, Bluetooth, Media Screen, Remote Start, ABS Brakes, Forward Collision Alert, Auto Lock System, Blind Spot Alert, Rear Camera",20500,فحص كامل,50 - 69 kWh,300 - 399 km
https://jo.opensooq.com/en/search/257511227,2025-02-07 13:05:19,New,BYD,E2,E2,2024,0,HatchBack,5,Electric,Automatic,,Grey,Black,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,Original Paint,Cash Only,Zarqa,Al mantika Al Hurra,AUX / USB Input,Daytime Running Lights,Apple CarPlay,17500,,Less than 50 kWh,400 - 499 km
