Condition,Car Make,is_luxury,Model,Model_encoded,Trim,Trim_encoded,Year,car_age,car_age_sqrt,Kilometers Numerical,age_km_interaction,Body Type,Number of Seats,Fuel,Transmission,Engine Size (cc),Regional Specs,Car License,Insurance,Car Customs,Body Condition,body_condition_encoded,Paint,paint_condition_encoded,interior_steering_wheel_controls,interior_airbags,technology_cruise_control,exterior_rear_sensors,exterior_keyless_entry,technology_tyre_pressure_monitoring,exterior_front_sensors,interior_electric_seat_control,technology_traction_control,technology_voice_control,technology_blind_spot_alert,technology_forward_collision_alert,technology_lane_departure_alert,technology_navigation_system_/_maps,Interior_Options_Count,Interior_Options_Count_cuberoot,Exterior_Options_Count,Exterior_Options_Count_cuberoot,Technology_Options_Count,Technology_Options_Count_cuberoot,tech_features_count,has_advanced_tech,Total_Options_Count,Total_Options_Count_cuberoot,weighted_options,Battery Capacity,Battery Range,log_price,maintenance_score,excellent_maintenance,size_class
Used,Hyundai,0,Kona,72,Premium,129,2019,6,2.449489743,125070.5898,750423.5388,SUV,5,Electric,Automatic,1499,Korean Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,2.5198421,12,2.289428485,22,2.802039331,8,1,50,3.684031499,17.2,59,500,9.504575923,7,1,large
Used,Tesla,1,Model Y,84,Long Range,111,2022,3,1.732050808,64580.89374,193742.6812,SUV,5,Electric,Automatic,1499,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Other,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,2.466212074,12,2.289428485,22,2.802039331,8,1,49,3.65930571,16.9,94,500,10.17355286,4,0,large
Used,BYD,0,Qin,96,Qin,136,2022,3,1.732050808,34769.89391,104309.6817,Sedan,4,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,1,1,1,0,1,1,1,0,0,0,1,10,2.15443469,8,2,12,2.289428485,5,1,30,3.107232506,10.2,59,349,8.294299609,7,1,medium
New,Volkswagen,0,ID 4,67,ID.4 Crozz Pure+,93,2024,1,1,0,0,SUV,5,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1.25992105,1,1,0,0,4,1.587401052,1.3,79,500,10.22197765,7,1,large
New,Skywell,0,Skyworth,103,EV6,66,2023,2,1.414213562,0,0,SUV,5,Electric,Automatic,1499,Other Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,3,1.44224957,1,59,449,9.878221025,7,1,large
Used,Kia,0,Niro,87,EX Touring,68,2022,3,1.732050808,44957.09535,134871.2861,SUV,5,Electric,Automatic,1499,Korean Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,0,1,1,1,1,1,0,1,1,1,1,1,1,1,10,2.15443469,8,2,12,2.289428485,8,1,30,3.107232506,10.2,59,449,10.01686088,7,1,large
Used,Tesla,1,Model 3,81,Long Range,111,2021,4,2,84860.06082,339440.2433,Sedan,5,Electric,Automatic,5499,American Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Original Paint,3,1,1,0,1,1,1,1,1,0,0,1,1,1,1,9,2.080083823,9,2.080083823,9,2.080083823,5,1,27,3,9,79,449,9.998843186,7,1,medium
Used,Samsung,0,SM3,100,SM3,148,2019,6,2.449489743,55185.59245,331113.5547,Sedan,5,Electric,Automatic,1499,Korean Specs,Not Licensed,Not Insured,With Customs,Excellent with no defects,4,Original Paint,3,1,1,1,0,1,1,0,1,0,0,0,0,0,0,11,2.223980091,7,1.912931183,7,1.912931183,2,0,25,2.924017738,8.2,50,249,9.268703615,7,1,medium
Used,Volkswagen,0,ID 4,67,ID.4 X,94,2021,4,2,185451.5119,741806.0476,SUV,5,Electric,Automatic,1499,European Specs,Licensed,Comprehensive Insurance,With Customs,Other,0,Other,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,9,2.080083823,5,1.709975947,14,2.410142264,6,1,28,3.036588972,9.8,79,500,9.998843186,0,0,large
Used,Volkswagen,0,Golf,61,E-Golf,35,2020,5,2.236067977,14681.60965,73408.04825,HatchBack,5,Electric,Automatic,1499,European Specs,Licensed,Compulsory Insurance,With Customs,Excellent with no defects,4,Other,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1.44224957,5,1.709975947,4,1.587401052,0,0,12,2.289428485,4,50,249,9.564582359,4,0,medium
